"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"315",12,"Jaleel McLaughlin",DEN,"RB95","10","-","-","2 out of 5 stars","+292"
"316",12,"Audric Estime",NO,"RB96","8","-","-","3 out of 5 stars","+44"
"317",13,"Jarquez Hunter",LAR,"RB97","11","-","-","5 out of 5 stars","+53"
"318",13,"Jake Tonges",SF,"TE38","8","-","-","3 out of 5 stars","-49"
"319",13,"Chicago Bears",CHI,"DST21","10","-","-","2 out of 5 stars","-117"
"320",13,"Will Shipley",PHI,"RB98","10","-","-","4 out of 5 stars","+194"
"321",13,"Joe Mixon",FA,"RB99","-","-","-","-","+3"
"322",13,"Darnell Washington",PIT,"TE39","9","-","-","2 out of 5 stars","-31"
"323",13,"Kareem Hunt",FA,"RB100","-","-","-","-","-5"
"324",13,"Chris Brazzell II",CAR,"WR111","5","-","-","2 out of 5 stars","+258"
"325",13,"J.J. McCarthy",MIN,"QB36","6","-","-","5 out of 5 stars","-68"
"326",13,"DeMario Douglas",NE,"WR112","11","-","-","2 out of 5 stars","+148"
"327",13,"Jahan Dotson",ATL,"WR113","11","-","-","3 out of 5 stars","+112"
"328",13,"Darren Waller",CAR,"TE40","5","-","-","2 out of 5 stars","+91"
"329",13,"Cedric Tillman",CLE,"WR114","11","-","-","3 out of 5 stars","+257"
"330",13,"Tez Johnson",TB,"WR115","10","-","-","4 out of 5 stars","+238"
"331",13,"Calvin Austin III",NYG,"WR116","8","-","-","4 out of 5 stars","+154"
"332",13,"Jalen Tolbert",MIA,"WR117","6","-","-","3 out of 5 stars","-33"
"333",13,"Michael Mayer",LV,"TE41","13","-","-","3 out of 5 stars","+77"
"334",13,"Konata Mumpfield",LAR,"WR118","11","-","-","1 out of 5 stars","+47"
"335",13,"Jalen Royals",KC,"WR119","5","-","-","2 out of 5 stars","+302"
"336",13,"Dallas Cowboys",DAL,"DST22","14","-","-","1 out of 5 stars","-145"
"337",13,"Elijah Arroyo",SEA,"TE42","11","-","-","3 out of 5 stars","-25"
"338",13,"Luke McCaffrey",WAS,"WR120","7","-","-","2 out of 5 stars","-6"
"339",13,"Olamide Zaccheaus",ATL,"WR121","11","-","-","3 out of 5 stars","+180"
"340",13,"Bam Knight",ARI,"RB101","14","-","-","2 out of 5 stars","-"
"341",13,"Carson Beck",ARI,"QB37","14","-","-","2 out of 5 stars","-41"
"342",13,"Bryce Lance",NO,"WR122","8","-","-","3 out of 5 stars","+154"
"343",13,"Xavier Hutchinson",HOU,"WR123","8","-","-","3 out of 5 stars","+231"
"344",13,"Max Klare",LAR,"TE43","11","-","-","4 out of 5 stars","+50"
"345",13,"Mac Jones",SF,"QB38","8","-","-","1 out of 5 stars","-16"
"346",13,"Tyler Higbee",LAR,"TE44","11","-","-","4 out of 5 stars","-15"
"347",13,"Joshua Palmer",BUF,"WR124","7","-","-","4 out of 5 stars","-34"
"348",13,"Noah Gray",KC,"TE45","5","-","-","4 out of 5 stars","+2"
"349",13,"Cole Kmet",CHI,"TE46","10","-","-","2 out of 5 stars","-54"
"350",13,"Carolina Panthers",CAR,"DST23","5","-","-","3 out of 5 stars","-87"
"351",13,"Erick All Jr.",CIN,"TE47","6","-","-","3 out of 5 stars","-"
"352",13,"Kendrick Bourne",ARI,"WR125","14","-","-","2 out of 5 stars","+227"
"353",13,"Dawson Knox",BUF,"TE48","7","-","-","3 out of 5 stars","-36"
"354",13,"Ja'Tavion Sanders",CAR,"TE49","5","-","-","2 out of 5 stars","-5"
"355",13,"Jake Elliott",PHI,"K19","10","-","-","5 out of 5 stars","-127"
"356",13,"Eli Raridon",NE,"TE50","11","-","-","4 out of 5 stars","-15"
"357",13,"Brenen Thompson",LAC,"WR126","7","-","-","2 out of 5 stars","+205"
"358",13,"Eli Heidenreich",PIT,"RB102","9","-","-","2 out of 5 stars","+253"
"359",13,"Michael Carter",TEN,"RB103","9","-","-","3 out of 5 stars","-"
"360",13,"New York Giants",NYG,"DST24","8","-","-","1 out of 5 stars","-134"
"361",13,"Justin Fields",KC,"QB39","5","-","-","2 out of 5 stars","-50"
"362",13,"Treylon Burks",WAS,"WR127","7","-","-","2 out of 5 stars","+201"
"363",13,"Ty Simpson",LAR,"QB40","11","-","-","3 out of 5 stars","-74"
"364",13,"Dont'e Thornton Jr.",LV,"WR128","13","-","-","2 out of 5 stars","+209"
"365",13,"Charlie Kolar",LAC,"TE51","7","-","-","4 out of 5 stars","+158"
"366",14,"Tampa Bay Buccaneers",TB,"DST25","10","-","-","4 out of 5 stars","-135"
"367",14,"Justin Joly",DEN,"TE52","10","-","-","4 out of 5 stars","+178"
"368",14,"Tyler Bass",BUF,"K20","7","-","-","2 out of 5 stars","-116"
"369",14,"John Metchie III",CAR,"WR129","5","-","-","2 out of 5 stars","+66"
"370",14,"Anthony Richardson Sr.",IND,"QB41","13","-","-","4 out of 5 stars","+259"
"371",14,"Raheim Sanders",CLE,"RB104","11","-","-","3 out of 5 stars","+194"
"372",14,"Malik Benson",LV,"WR130","13","-","-","2 out of 5 stars","+258"
"373",14,"Zane Gonzalez",FA,"K21","-","-","-","-","+169"
"374",14,"Jaylin Lane",WAS,"WR131","7","-","-","2 out of 5 stars","+166"
"375",14,"Jawhar Jordan",HOU,"RB105","8","-","-","4 out of 5 stars","+116"
"376",14,"Tennessee Titans",TEN,"DST26","9","-","-","2 out of 5 stars","-115"
"377",14,"Savion Williams",GB,"WR132","11","-","-","5 out of 5 stars","-"
"378",14,"Cincinnati Bengals",CIN,"DST27","6","-","-","4 out of 5 stars","-106"
"379",14,"Nick Folk",ATL,"K22","11","-","-","0 out of 5 stars","-104"
"380",14,"Kalif Raymond",CHI,"WR133","10","-","-","3 out of 5 stars","+43"
"381",14,"KaVontae Turpin",DAL,"WR134","14","-","-","2 out of 5 stars","-26"
"382",14,"Kevin Coleman Jr.",MIA,"WR135","6","-","-","3 out of 5 stars","+155"
"383",14,"Trey Smack",GB,"K23","11","-","-","4 out of 5 stars","-130"
"384",14,"Noah Fant",NO,"TE53","8","-","-","2 out of 5 stars","+42"
"385",14,"Phil Mafah",DAL,"RB106","14","-","-","4 out of 5 stars","-"
"386",14,"J'Mari Taylor",JAC,"RB107","7","-","-","4 out of 5 stars","-"
"387",14,"Tutu Atwell",MIA,"WR136","6","-","-","3 out of 5 stars","+68"
"388",14,"Miami Dolphins",MIA,"DST28","6","-","-","3 out of 5 stars","-85"
"389",14,"Blake Grupe",IND,"K24","13","-","-","4 out of 5 stars","-95"
"390",14,"Roman Wilson",PIT,"WR137","9","-","-","3 out of 5 stars","+2"
"391",14,"John Bates",WAS,"TE54","7","-","-","1 out of 5 stars","-"
"392",14,"Nick Westbrook-Ikhine",IND,"WR138","13","-","-","4 out of 5 stars","+160"
"393",14,"Kyle Juszczyk",SF,"RB108","8","-","-","2 out of 5 stars","-24"
"394",14,"Zavion Thomas",CHI,"WR139","10","-","-","3 out of 5 stars","-19"
"395",14,"Austin Ekeler",FA,"RB109","-","-","-","-","-"
"396",14,"Joe Flacco",CIN,"QB42","6","-","-","3 out of 5 stars","-75"
"397",14,"Joey Slye",TEN,"K25","9","-","-","4 out of 5 stars","-109"
"398",14,"Tommy Tremble",CAR,"TE55","5","-","-","2 out of 5 stars","+24"
"399",14,"Luke Musgrave",GB,"TE56","11","-","-","2 out of 5 stars","-46"
"400",14,"Ryan Fitzgerald",CAR,"K26","5","-","-","0 out of 5 stars","-64"
"401",14,"Devontez Walker",BAL,"WR140","13","-","-","4 out of 5 stars","-68"
"402",14,"Daniel Carlson",LV,"K27","13","-","-","1 out of 5 stars","+48"
"403",14,"CJ Daniels",LAR,"WR141","11","-","-","1 out of 5 stars","+89"
"404",14,"Chad Ryland",ARI,"K28","14","-","-","2 out of 5 stars","-48"
"405",14,"Jam Miller",NE,"RB110","11","-","-","2 out of 5 stars","+205"
"406",14,"Jameis Winston",NYG,"QB43","8","-","-","4 out of 5 stars","-90"
"407",14,"Dameon Pierce",PHI,"RB111","10","-","-","4 out of 5 stars","-"
"408",14,"Tommy Myers",FA,"TE57","-","-","-","-","-"
"409",14,"Washington Commanders",WAS,"DST29","7","-","-","2 out of 5 stars","-124"
"410",14,"Joe Milton III",DAL,"QB44","14","-","-","2 out of 5 stars","-2"
"411",14,"Ashton Dulin",IND,"WR142","13","-","-","4 out of 5 stars","-"
"412",14,"Colbie Young",CIN,"WR143","6","-","-","4 out of 5 stars","+12"
"413",14,"Roschon Johnson",CHI,"RB112","10","-","-","2 out of 5 stars","+109"
"414",14,"Rasheen Ali",BAL,"RB113","13","-","-","3 out of 5 stars","-"
"415",14,"Demarcus Robinson",SF,"WR144","8","-","-","2 out of 5 stars","+162"
"416",14,"Marcus Mariota",WAS,"QB45","7","-","-","2 out of 5 stars","+54"
"417",14,"Ben Sauls",NYG,"K29","8","-","-","2 out of 5 stars","-91"
"418",14,"Daniel Bellinger",TEN,"TE58","9","-","-","3 out of 5 stars","+142"
"419",14,"Mitchell Evans",CAR,"TE59","5","-","-","2 out of 5 stars","-"
"420",14,"Sione Vaki",DET,"RB114","6","-","-","5 out of 5 stars","-"
"421",14,"Jordan Whittington",LAR,"WR145","11","-","-","1 out of 5 stars","-55"
